Respondent?s name ,SL,Address  ,Mahalla/village,Upazila / Thana ,Zila (district) ,Landmark (renowned structure name/ road intersection) ,Location type,Name of supervisor ,Interviewer?s name ,GPS coordinates ,Interviewer visits ,Interview start time ,Interview end time ,Interviewer ID number,Respondent  consent,Contact number ,Age,Gender,Married,Can read a bangla letter ,Education,Name of Establishment / Store / Outlet owner,Type of business,Number of day store open (Weekly),Total household member,Adult household member,Income source,Common sell item (five number),Full time worker,Business duration,Previous occupation,Major goals for business,Main barriers and challenges ,Support Type,Training Type,Ownership type ,Business located ,Property ownership,Structure type of the store,Facilities,Trade license,Number of Employee,Number of support member(Family),Number of contractual employee,Total Employee, Average number customer,Average sell per customer,Percentage of known/regular customer,Credit offer,Monthly  credit sell percentage ,Income from daily sells,Expendature from daily sells ,Agreement with statement,Monetary problem for payment,Feel safe in cash payment ,Concern about money safeness,Cash Transactions difficulty,Feel lack of capital, Need  products in stock for better business  ,Maintaining accounts type, Mainatining accounts for goods,Maintaining  household expenses,Separate household and business expenses,Supplies of goods/merchandise,Overall supplies from one point,Payment Terms by Supply Mode,Payment Terms for company distributor ,Payment Terms for company/manufacturer,Payment terms for wholesalers,Payment terms in nearby haaat,Payment terms in same/nearby area,Payment terms in others (specify),Frequency of replenish  stock/procure goods and supplies,Credit or installment payment for goods in last year,Last year taken any personal/ business loan, Pending business loans,Amounts of pending loan,Amounts of current pending business loan,Largest loan taken location, Would take loan if possible ,Access to loan,Family members have feature (phone with internet connection facility) / basic phone , Family membersÿown a smartphone with a touchscreen,Family membersÿdo not own a phone,Have Personal Phone,Type of Phone,use of personal mobile phone,Challenges  of personal mobile phone,Usees of computer(personal/business),Internet Connectivity in store computer,Frequentness of receiving stock/services from  suppliers,Frequentness of payment to  suppliers,Payment Terms to Suppliers,Problem facing on time payment,Barriers through mobile account payment for suppliers,Access to services,Distance from the store, Cost to reach  from the store, Nearest bank branch (any bank),Nearest ATM,Nearest bKash/Rocket or other digital payment agent ,"Nearest place from where send or receive money (if it is one of the above mentioned, then repeat that  information) ","Nearest place where can recharge (buy airtime or top-up) your mobile (if it is one of the above mentioned, then repeat that  information) ",Have bank account,Last use of account,Bank Name,Bank account for business activity, Use your bank account,Reaching time (minutes) in bank,Cost to reach bank,Reasons of not having a bank account,Headed mobile money,Have any MFS account,Likeness  of three things  in mobile money service,Name three things like least about mobile money service,Name of mobile money service(if available),Personal or merchant account,Name three things you like most about transferring money via your mobile money serviceÿ,Name three things you like least about transferring money via your mobile money service,Last time heared MFS,Accepted MFS from customers,From time accepted MFS, Any changes of customers from using digital MFS,Frequentness of using  merchant account (for business purpose),User friendlyness of MFS ,Reason for not accceptance MFS, Make payments any mobile payment system to your suppliers,Reason not using MFS for suppliers,Acceptancy of payment through debit/credit card ,Percentage customer who pay using card,Cash,Pays using a debit/ credit card ,Pay through mobile payment service,make time to transactions,Cash2,Pays using a debit/ credit card 3,Pay through mobile payment service4,Benefits of receiving payments through mobile payment service,Problem facing for receiving mobile payment ,Face monthly limit barrier, Payments not received because of not getting system confirmation on time,Could not receive payments because of cell phone connectivity ,Customer could not make the payment because of system problem,Customer could not make the payment because of lack of balance on mobile money account,Customer made a mistake ,Transaction was slow/resulted in long lines ,Other (specify)  ,Increase the percentage of your sales (number of customer) that is paid through mobile payment service,Not  interested because increase the percentage,Member of  an asscociation,Name of Association,How many household members are 12-years-old or youngerÿ?,Do all children ages 6 to 12 currently attend a school/educational institutionÿ?,"In the past year, did any household member ever do work for which he/she was paid on a daily basisÿ?",How many rooms does your household occupy (excluding rooms used for businessÿ)?,What is the major construction material of the walls of the main roomÿ? ,Does the household own any televisionsÿ?,How many fans does the household ownÿ?,How many mobile phones does the household ownÿ?,"Does the household own any bicycles, motorcycle/scooters, or motor cars, etcÿ.?",Does the household own (or rent/sharecrop/mortgage in or out) 51 or more decimals of cultivable agricultural land (excluding uncultivable land and dwelling ? house/homestead landÿ)? 
,865,,,,,,RURAL,,,,Visit 2,,,865,No,,27,Female,No,Yes,Secondary Vocational Training complete/ certificate complete,,Variety/General store,1,6,4,No Response,,Yes,13,Farming/agriculture,,"Insufficient knowledge, information, business experience",,Business plan writing,Partnership,Separate from resident,Own,Permanent kiosk,Internet connection,Yes,2,0,2,,203,56,Up to 25% customers are known,"Yes, regularly",21-30%,1199,Spend it immediately for personal expenses,,Agree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,Strongly disagree,Strongly agree,I keep my accounts by remembering,Write it to my account book,No,Yes,Large store in nearby haaat,15,Cash,Cash,Credit,Cash,Cash & Credit both,Cash,Credit,4-6 days a week,Rarely,No,Yes,1,98252,From a village Level savings Group,Strongly disagree,Agree somewhat,1,1,2,No,,Use Facebook or other social networking site,Phone not working properly (other than connectivity issues),Yes,"Yes, sometimes",Less than once a month,Less than once a month,Other,Other,The suppliers or I do not always have a working phone,,9,44,1,2,1,0,2,Personal account,In the past 7 days,Bangladesh Krishi bank,No,Other,47,36,I like to transact in cash,No,No,,,Ucash,Merchant,,,In the past 30 days,Yes,2012,Somewhat increased,2-3 times a month,Difficult,Other,Yes,Others,No,Yes,41-50%,Don?t know,Don?t know,,1111,4351,647,It helps the store?s marketing or attracts more customers,,"Yes, frequently","Yes, sometimes","Yes, sometimes","Yes, sometimes",Rarely,Rarely,"No, never","Yes, sometimes",,It takes too long for transaction /results to long lines,Yes,Business association,Two,Yes,Yes,Two,Brick/cement,Yes,One,None,Yes,No
,866,,,,,,RURAL,,,,Visit 2,,,866,Yes,,54,Female,Yes,No,Madrasha Education,,Variety/General store,1,7,1,Pension,,No,5,Job/Paid employment,,Hard to say,,"Legal support, Issues related registering and licensing of business",Family business,Attached with residence,Own,Permanent kiosk,Computer,No,3,2,1,,161,85,Up to 25% customers are known,"Yes, regularly",21-30%,2352,Don't have any money left at the end of the day,,Agree somewhat,Strongly agree,Strongly agree,Disagree somewhat,Strongly agree,Strongly agree,Manually enter in the computer,I keep my accounts by remembering,No,No,Wholesaler in wholesale market,17,Cash,Credit,Cash,Cash,Cash & Credit both,Credit,Credit,4-6 days a week,"No, never",No,No,5,,"From a bank, post office or microfinance institution",Strongly disagree,Strongly disagree,3,3,1,No,,Made/receive calls,Phone not working properly (other than connectivity issues),No,"Yes, frequently",2-3 times a week,Less than once a month,Through my bank account,Often have to ask for more time or for a loan,Suppliers do not  want to receive payments through mobile money account,,9,26,3,1,3,4,3,Personal account,More than 90 days ago,Standard Chartered bank,Yes,Other,8,35,There are no banks nearby my residence,Yes,No,,,Others,Personal,,,More than 90 days ago,Yes,2017,Highly decreased,Daily,Very easy,My phone or phone network is not working properly,Yes,Do not know how to make payment through mobile phone,No,No,81-90%,1-10%,71-80%,,1694,1944,843,Shorter lines/ customers have to wait less time,,"No, never","Yes, frequently","Yes, frequently",Rarely,"Yes, sometimes",Rarely,"No, never","Yes, frequently",,Monthly transaction limits are too low,No,Others,One,No,No,Three or more,Brick/cement,Yes,Two,One,No,Yes
,867,,,,,,RURAL,,,,Visit 2,,,867,No,,66,Female,No,Yes,University Degree,,Wholesale cum retail grocery shop,1,5,4,Receive money from migrant family members (Remittances),,No,14,Other,,Access to finance,,Technical training,Single proprietorship,Attached with residence,Other,Small room of pucca construction < 100 sqmts,Electronic Cash register,No,0,0,2,,116,92,Between 26 - 50% customers are known,"No, never",41-50%,2829,Give it to someone for safekeeping,,Strongly agree,Strongly disagree,Agree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,I keep my accounts by remembering,Do not keep accounts daily,No,No,Wholesaler in wholesale market,17,Credit,Cash & Credit both,Cash & Credit both,Credit,Cash,Credit,Credit,2-3 days a week,"No, never",No,Yes,3,83793,"From a bank, post office or microfinance institution",Strongly disagree,Disagree somewhat,3,1,1,Yes,Smartphone,Use bKash mobile money transactions,Ran out of balance (airtime),Yes,"Yes, sometimes",2-3 times a week,2-3 times a month,Mobile payment service,I always pay on time,Transaction limit is too low,,5,39,4,5,2,3,4,One account for both- personal and business,In the past 30 days,Dutch Bangla bank,No,Mobile app/mobile banking,7,41,I do not need a bank account,No,Yes,,,MCash,Merchant,,,In the past 90 days,Yes,2015,Don?t know/refuse,Once a week,Difficult,It's difficult to get cash out from my balance,Yes,High charge,No,Yes,41-50%,81-90%,1-10%,,1641,2168,261,It is safer than cash money,,"Yes, sometimes","Yes, sometimes","Yes, sometimes","Yes, frequently","No, never","Yes, frequently","Yes, sometimes","Yes, sometimes",,My phone or phone network is not working properly,No,Business association,Three or more,No,No,None,Brick/cement,Yes,Three or more,None,Yes,Yes
,868,,,,,,URBAN,,,,Visit 1,,,868,No,,63,Female,Yes,No,University Degree,,Conrfectionery,2,8,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,Yes,7,Job/Paid employment,,"Gender, ethnic and other social norms or psychological issues",,Other please specify,Single proprietorship,Attached with residence,Own,Semi-permanent kiosk,Business Cellphone (separate from owner?s personal),No,0,3,2,,126,22,Up to 25% customers are known,"No, never",61-70%,2772,Keep it at store,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Strongly agree,I keep my accounts by remembering,Do not keep accounts daily,Yes,Yes,Wholesaler in wholesale market,7,Credit,Credit,Cash & Credit both,Cash & Credit both,Credit,Credit,Credit,2-3 days a week,"Yes, sometimes",No,No,3,,From friends,Disagree somewhat,Strongly disagree,2,3,1,Yes,Smartphone,Send/Receive SMS Text messages,Do not face any problems,Yes,"Yes, frequently",2-3 times a month,Once a month,Other,I always pay on time,Other,,10,32,1,0,3,3,2,One account for both- personal and business,Yesterday,Pubali  bank,No,Other,57,12,Others,Yes,No,,,bKash,Personal,,,In the past 90 days,No,2015,Don?t know/refuse,Daily,Difficult,I need cash money to run my business,No,Others,No,Yes,91-100%,71-80%,51-60%,,1386,2417,1946,It is free,,"No, never","No, never",Rarely,"No, never","No, never","Yes, frequently","Yes, frequently",Rarely,,"Other, please specify",Yes,Village level association (Informal),Two,No members at age 6-to-12,Yes,Three or more,Mud brick or C.I. sheet/wood,No,None,None,No,Yes
,869,,,,,,RURAL,,,,Visit 2,,,869,No,,56,Male,No,Yes,Not Formal Education,,Variety/General store,3,5,5,Work for someone else (Wage employment),,Yes,16,Farming/agriculture,,Not applicable,,Business plan writing,Partnership,Attached with residence,Own,Semi pucca shack,Internet connection,No,1,1,1,,210,71,Don't know,"Yes, regularly",51-60%,303,Keep it at store,,Strongly agree,Agree somewhat,Strongly agree,Agree somewhat,Disagree somewhat,Agree somewhat,I keep my accounts by remembering,Write it to my account book,No,No,Others,10,Credit,Cash,Credit,Cash,Cash & Credit both,Cash & Credit both,Cash & Credit both,2-3 days a week,Rarely,No,Yes,1,3944,From a village Level savings Group,Strongly disagree,Agree somewhat,3,3,3,No,,Made/receive calls,Phone runs out of battery,No,"Yes, frequently",Less than once a month,Once a month,Other,I always pay on time,Transaction limit is too low,,3,12,2,3,5,2,4,Business account,In the past 90 days,BRAC bank,No,Other,46,33,There are no banks nearby my residence,No,Yes,,,OK,Merchant,,,More than 90 days ago,No,2013,Highly decreased,Once a week,Difficult,Many customers do not have a working cellphone,Yes,Supplier do not accept pyment through mobile payment system,No,Yes,61-70%,11-20%,51-60%,,283,3545,468,Other,,"Yes, sometimes","Yes, sometimes","Yes, frequently","Yes, sometimes","No, never","Yes, frequently","Yes, frequently",Rarely,,Customers do not have trust on MFS acccount,No,Village level association (Informal),One,No members at age 6-to-12,No,One,"Hemp/hay/bamboo, or other",No,None,Three or more,Yes,No
,870,,,,,,RURAL,,,,Visit 1,,,870,Yes,,37,Female,No,No,Secondary education,,Wholesale cum retail grocery shop,2,5,4,Others,,No,20,Job/Paid employment,,Hard to say,,Business plan writing,Single proprietorship,Separate from resident,Own,Small room of pucca construction < 100 sqmts,Electronic Cash register,Yes,3,1,0,,200,78,Between 51 - 75% customers are known,Rarely,0%,896,Deposit it in a bank account,,Disagree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Do not keep accounts daily,Manually enter in the computer,Yes,No,Large store in same/nearby area,20,Credit,Cash & Credit both,Cash & Credit both,Credit,Cash,Cash & Credit both,Cash & Credit both,2-3 days a week,Rarely,No,No,5,,From a village Level savings Group,Disagree somewhat,Agree somewhat,1,1,2,Yes,Smartphone,Send/Receive SMS Text messages,Phone runs out of battery,Yes,"No, never",Less than once a month,Once a month,Cash,Sometimes have to ask for more time or for a loan,Transaction limit is too low,,10,33,5,1,0,1,5,One account for both- personal and business,More than 90 days ago,Eastern bank ltd.,No,Other,44,16,Registration fees and fees for using it are too high,Yes,No,,,Rocket (DBBL),Personal,,,Yesterday,Yes,2013,Highly decreased,Daily,Somewhat difficult,The service is not reliable,Yes,Others,Yes,No,0%,41-50%,61-70%,,819,817,773,Shorter lines/ customers have to wait less time,,"Yes, frequently","No, never",Rarely,"Yes, sometimes","No, never","Yes, sometimes","Yes, frequently","No, never",,I need cash money to run my business,Yes,Business association,None,Yes,No,One,"Hemp/hay/bamboo, or other",No,One,One,Yes,No
,871,,,,,,RURAL,,,,Visit 2,,,871,Yes,,16,Male,Yes,No,Primary Education,,Wholesale cum retail grocery shop,3,8,4,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,3,Job/Paid employment,,Hard to say,,Hard to say,Partnership,Separate from resident,Own,Large room(s) of pucca construction >100 sqmts,Electricity connection,No,1,2,3,,215,75,Between 26 - 50% customers are known,"Yes, regularly",21-30%,1979,#VALUE!,,Strongly agree,Strongly disagree,Agree somewhat,Disagree somewhat,Strongly agree,Disagree somewhat,Manually enter in the computer,Write it to my account book,No,No,Directly from the company/manufacturer,19,Credit,Cash & Credit both,Cash,Credit,Cash,Cash & Credit both,Cash & Credit both,Everyday,"Yes, sometimes",No,No,3,,From friends,Disagree somewhat,Agree somewhat,2,2,3,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, frequently",Once a month,Once a month,Through my bank account,I always pay on time,Suppliers do not always have a mobile money account,,9,22,5,1,0,0,3,Business account,In the past 7 days,Mutual Trust bank ltd.,No,Mobile app/mobile banking,5,33,I like to transact in cash,No,No,,,bKash,Personal,,,More than 90 days ago,Yes,2015,Don?t know/refuse,2-3 times a month,Very easy,The service is not reliable,No,Others,No,Yes,61-70%,Don?t know,81-90%,,1716,1223,1493,Shorter lines/ customers have to wait less time,,"Yes, sometimes","No, never","Yes, sometimes","Yes, frequently","No, never","No, never","No, never","No, never",,Many customers do not think that it is convenient or useful,No,Micro-credit group,Three or more,No,Yes,Three or more,Mud brick or C.I. sheet/wood,No,Two,Two,Yes,Yes
,872,,,,,,URBAN,,,,Visit 2,,,872,Yes,,61,Male,No,Yes,Others,,Conrfectionery,6,8,3,No Response,,No,11,Job/Paid employment,,Poor physical infrastructure,,Technical training,Family business,Attached with residence,Other,Semi-permanent kiosk,Electricity connection,No,3,0,1,,267,68,Between 76% - 100% customers are known,"Yes, regularly",81-90%,909,Don?t know/refuse,,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree somewhat,I keep my accounts by remembering,I keep my accounts by remembering,Yes,No,Directly from the company/manufacturer,20,Cash & Credit both,Credit,Cash & Credit both,Cash & Credit both,Cash,Credit,Cash,Everyday,"No, never",Yes,Yes,5,96249,From a village Level savings Group,Agree somewhat,Disagree somewhat,2,3,2,Yes,Smartphone,Send/Receive Email,Ran out of balance (airtime),No,"No, never",2-3 times a month,Once a month,Cash,Other,No trust on this service,,10,41,2,3,4,0,1,One account for both- personal and business,Yesterday,Social Islami bank ltd.,Yes,Other,25,38,There are no banks nearby my residence,No,Yes,,,MCash,Personal,,,Yesterday,Yes,2013,Somewhat increased,Once a week,Somewhat difficult,It's difficult to get cash out from my balance,Yes,Others,Yes,No,91-100%,Don?t know,11-20%,,691,3569,151,It is convenient,,"Yes, sometimes",Rarely,"No, never",Rarely,"Yes, sometimes","Yes, sometimes",Rarely,"No, never",,"Other, please specify",Yes,Village level association (Informal),One,Yes,Yes,Three or more,Brick/cement,No,Three or more,None,Yes,Yes
,873,,,,,,URBAN,,,,Visit 2,,,873,No,,69,Female,No,Yes,Primary Education,,Cosmetic store,1,6,1,No Response,,No,19,Other,,Access to finance,,"Legal support, Issues related registering and licensing of business",Single proprietorship,Attached with residence,Other,Semi pucca shack,Land phone line,No,1,3,0,,255,44,Up to 25% customers are known,Rarely,21-30%,893,Deposit it in a bKash/Rocket or any other mobile money account,,Agree somewhat,Disagree somewhat,Strongly disagree,Strongly disagree,Disagree somewhat,Strongly disagree,Have a barcode scanner that automatically scans item and keeps accounts,Write it to my account book,Yes,Yes,Large store in same/nearby area,9,Credit,Credit,Cash,Cash,Credit,Credit,Credit,2-3 days a week,"Yes, sometimes",Yes,No,2,15442,From friends,Strongly disagree,Disagree somewhat,1,1,1,No,,Browse the internet,Phone not working properly (other than connectivity issues),No,Rarely,2-3 times a month,Once a week,Cash,Often have to ask for more time or for a loan,Suppliers do not  want to receive payments through mobile money account,,6,47,2,5,2,2,0,Business account,In the past 7 days,Janata bank,Yes,Banks' website/online banking,12,18,There are no banks nearby my residence,Yes,Yes,,,Others,Merchant,,,In the past 90 days,Yes,2012,Somewhat decreased,Daily,Difficult,My phone or phone network is not working properly,Yes,Fear of hacking,No,Yes,91-100%,21-30%,Don?t know,,1713,4636,1649,It offers campaigns and discounts for customers,,"Yes, sometimes",Rarely,"Yes, frequently","No, never","No, never","No, never","No, never",Rarely,,It's difficult to get cash out from my balance,No,Co-opeartive,None,Yes,No,One,Brick/cement,Yes,Three or more,One,Yes,Yes
,874,,,,,,URBAN,,,,Visit 2,,,874,No,,67,Female,No,Yes,Higher Secondary Education,,Cosmetic store,1,5,5,Pension,,Yes,13,Farming/agriculture,,Monitoring and inspections by regulatory bodies,,Finding and advise on equipment and technology,Single proprietorship,Attached with residence,Other,Large room(s) of pucca construction >100 sqmts,Internet connection,No,2,1,1,,139,96,Between 51 - 75% customers are known,"Yes, regularly",71-80%,2443,Keep it at store,,Disagree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Disagree somewhat,Manually enter in the computer,Write it to my account book,Yes,Yes,Others,18,Credit,Credit,Cash & Credit both,Credit,Cash,Cash,Cash,2-3 days a week,"No, never",No,No,5,,From a village Level savings Group,Agree somewhat,Disagree somewhat,1,3,3,No,,Send/Receive Email,Ran out of balance (airtime),Yes,"Yes, sometimes",Once a month,Once a week,Through my bank account,I always pay on time,I do not trust system,,5,32,2,5,4,1,0,One account for both- personal and business,In the past 90 days,First Security Islami bank ltd.,No,Banks' website/online banking,28,45,Others,Yes,No,,,OK,Personal,,,In the past 7 days,Yes,2014,Don?t know/refuse,2-3 times a month,Difficult,Monthly transaction limits are too low,No,Supplier do not accept pyment through mobile payment system,No,No,Don?t know,31-40%,Don?t know,,1409,4086,423,It is safer than cash money,,"Yes, sometimes","Yes, frequently","Yes, sometimes",Rarely,Rarely,Rarely,"Yes, sometimes","Yes, sometimes",,Many customers do not think that it is convenient or useful,Yes,Business association,Three or more,No members at age 6-to-12,No,Two,"Hemp/hay/bamboo, or other",Yes,Three or more,One,Yes,No
,875,,,,,,RURAL,,,,Visit 1,,,875,No,,68,Female,No,No,Higher Secondary Education,,Variety/General store,1,8,3,Pension,,Yes,15,Other,,"Insufficient knowledge, information, business experience",,"Legal support, Issues related registering and licensing of business",Family business,Attached with residence,Own,Large room(s) of pucca construction >100 sqmts,Electricity connection,Yes,0,0,2,,149,71,Up to 25% customers are known,"No, never",61-70%,1944,Keep it at home/room,,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,Yes,Yes,Wholesaler in wholesale market,17,Cash & Credit both,Cash,Cash,Cash,Cash,Cash,Cash & Credit both,Everyday,"No, never",No,Yes,3,22881,"From a bank, post office or microfinance institution",Disagree somewhat,Strongly disagree,1,1,2,No,,Transfer phone credit,Network connectivity problem / poor mobile service,No,Rarely,Once a month,Once a month,Through my bank account,I always pay on time,It's difficult/inconvenient to use,,7,49,4,5,2,3,1,One account for both- personal and business,In the past 7 days,HSBC bank,Yes,Banks' website/online banking,46,44,There are no banks nearby my residence,Yes,No,,,Ucash,Personal,,,More than 90 days ago,Yes,2015,Don?t know/refuse,Once a month,Very easy,It's difficult to get cash out from my balance,Yes,Fear of hacking,Yes,No,1-10%,71-80%,31-40%,,437,951,727,It offers campaigns and discounts for customers,,"No, never","Yes, sometimes",Rarely,"No, never","Yes, frequently",Rarely,"No, never","Yes, sometimes",,Many customers do not have money in their MFS account,No,Micro-credit group,None,No,No,Two,Brick/cement,Yes,Two,Two,Yes,Yes
,876,,,,,,URBAN,,,,Visit 1,,,876,Yes,,39,Male,No,Yes,Secondary Vocational Training complete/ certificate complete,,Wholesale cum retail grocery shop,1,7,4,Receive money from migrant family members (Remittances),,Yes,19,Job/Paid employment,,Poor physical infrastructure,,Hard to say,Partnership,Separate from resident,Other,Large room(s) of pucca construction >100 sqmts,Land phone line,No,1,1,1,,256,81,Don't know,"No, never",11-20%,2171,Don't have any money left at the end of the day,,Strongly agree,Disagree somewhat,Agree somewhat,Strongly agree,Disagree somewhat,Agree somewhat,Manually enter in the computer,Manually enter in the computer,Yes,Yes,Large store in same/nearby area,13,Cash,Cash,Cash & Credit both,Cash,Credit,Cash & Credit both,Credit,4-6 days a week,Rarely,Yes,No,1,63379,"From a bank, post office or microfinance institution",Strongly disagree,Agree somewhat,3,2,3,Yes,Smartphone,Use Facebook or other social networking site,Network connectivity problem / poor mobile service,Yes,"Yes, frequently",Once a month,Once a week,Cash,Sometimes have to ask for more time or for a loan,Other,,9,49,5,2,4,5,0,One account for both- personal and business,In the past 30 days,BRAC bank,Yes,Mobile app/mobile banking,8,34,Registration fees and fees for using it are too high,No,No,,,Ucash,Personal,,,More than 90 days ago,Yes,2015,Highly decreased,2-3 times a week,Very easy,Other,Yes,Do not know how to make payment through mobile phone,Yes,Yes,21-30%,1-10%,Don?t know,,421,2723,674,It helps the store?s marketing or attracts more customers,,"Yes, frequently","No, never","Yes, sometimes","No, never","No, never",Rarely,"Yes, sometimes","Yes, sometimes",,"Other, please specify",Yes,Co-opeartive,None,No,No,One,Brick/cement,Yes,One,One,No,Yes
,877,,,,,,RURAL,,,,Visit 1,,,877,No,,61,Female,Yes,No,Madrasha Education,,Retail grocery shop,6,6,3,Work in your own activity and you are your own boss (Self-employment)/ Business,,No,20,Job/Paid employment,,Not applicable,,"Accounting, taxation, bookkeeping",Partnership,Separate from resident,Own,Semi-permanent kiosk,Electronic Cash register,No,1,3,3,,130,34,Up to 25% customers are known,"Yes, regularly",91-100%,906,Don't have any money left at the end of the day,,Disagree somewhat,Disagree somewhat,Strongly agree,Agree somewhat,Strongly disagree,Agree somewhat,Have a barcode scanner that automatically scans item and keeps accounts,Manually enter in the computer,Yes,No,Large store in nearby haaat,19,Cash,Credit,Credit,Cash & Credit both,Cash & Credit both,Cash & Credit both,Cash,2-3 days a week,"No, never",No,No,4,,"From a bank, post office or microfinance institution",Disagree somewhat,Disagree somewhat,3,3,3,No,,Use bKash mobile money transactions,Network connectivity problem / poor mobile service,Yes,"Yes, sometimes",Once a month,Less than once a month,Cash,Sometimes have to ask for more time or for a loan,Suppliers do not always have a mobile money account,,7,31,4,1,3,4,3,One account for both- personal and business,In the past 7 days,Jamuna bank,Yes,Banks' website/online banking,25,12,There are no banks nearby my residence,No,Yes,,,OK,Personal,,,More than 90 days ago,No,2016,Somewhat increased,Once a week,Difficult,Customers do not have trust on MFS account,Yes,Others,No,No,Don?t know,11-20%,51-60%,,1820,1333,1704,It helps the store?s marketing or attracts more customers,,Rarely,"Yes, sometimes","Yes, frequently","Yes, frequently","Yes, sometimes","No, never","No, never","Yes, frequently",,Customers do not have trust on MFS acccount,No,Co-opeartive,None,No members at age 6-to-12,Yes,One,"Hemp/hay/bamboo, or other",No,One,Two,No,Yes
,878,,,,,,URBAN,,,,Visit 1,,,878,No,,66,Female,No,No,Others,,Wholesale cum retail grocery shop,1,8,4,Pension,,No,18,Farming/agriculture,,Access to finance,,Technical training,Family business,Separate from resident,Other,Semi pucca shack,Electronic Cash register,Yes,3,3,3,,245,48,Between 26 - 50% customers are known,Rarely,51-60%,2081,Spend it immediately for personal expenses,,Strongly agree,Agree somewhat,Agree somewhat,Strongly disagree,Agree somewhat,Strongly agree,Have a barcode scanner that automatically scans item and keeps accounts,I keep my accounts by remembering,No,No,Large store in nearby haaat,14,Cash,Cash & Credit both,Credit,Cash,Credit,Cash & Credit both,Cash,4-6 days a week,"No, never",Yes,No,5,49483,From a village Level savings Group,Strongly disagree,Disagree somewhat,1,3,3,Yes,Feature/basic/camera phone,Send/Receive SMS Text messages,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, frequently",2-3 times a week,2-3 times a month,Through my bank account,Sometimes have to ask for more time or for a loan,Takes long time,,6,14,3,4,4,3,1,Business account,In the past 90 days,ShahjalalIslami bank ltd.,Yes,Banks' website/online banking,26,47,It is not permitted by my religion,No,No,,,Others,Personal,,,In the past 90 days,Yes,2013,Somewhat decreased,Daily,Very easy,Many customers do not have a MFS account,No,Supplier do not accept pyment through mobile payment system,Yes,Yes,0%,11-20%,11-20%,,1238,614,1769,It helps the store?s marketing or attracts more customers,,"Yes, sometimes","No, never",Rarely,Rarely,"Yes, frequently","No, never",Rarely,Rarely,,Many customers do not think that it is convenient or useful,Yes,Village level association (Informal),Two,No members at age 6-to-12,No,Two,"Hemp/hay/bamboo, or other",Yes,One,Three or more,Yes,No
,879,,,,,,URBAN,,,,Visit 1,,,879,Yes,,21,Male,Yes,No,Others,,Variety/General store,6,6,3,Receive money from migrant family members (Remittances),,Yes,17,Other,,Monitoring and inspections by regulatory bodies,,"Legal support, Issues related registering and licensing of business",Partnership,Attached with residence,Rent,Semi pucca shack,Business Cellphone (separate from owner?s personal),No,3,2,1,,243,99,Between 26 - 50% customers are known,"Yes, regularly",21-30%,1154,Spend it immediately for personal expenses,,Disagree somewhat,Disagree somewhat,Strongly disagree,Disagree somewhat,Strongly disagree,Strongly disagree,I keep my accounts by remembering,Write it to my account book,No,No,Company distributor,9,Credit,Credit,Cash & Credit both,Credit,Cash,Cash,Credit,Everyday,"Yes, sometimes",No,Yes,2,37590,"From a bank, post office or microfinance institution",Strongly disagree,Disagree somewhat,3,3,3,No,,Made/receive calls,"Phone runs out of storage (space for saving picture, apps and other information)",Yes,"Yes, sometimes",Once a month,Once a week,Other,Other,Suppliers do not  want to receive payments through mobile money account,,8,36,0,0,2,4,2,One account for both- personal and business,Yesterday,City bank ltd.,Yes,Mobile app/mobile banking,55,26,I do not believe that my money will be safe in a bank,No,Yes,,,MCash,Merchant,,,Yesterday,No,2013,Somewhat decreased,Once a week,Somewhat difficult,The service is not reliable,Yes,Supplier do not accept pyment through mobile payment system,Yes,Yes,71-80%,1-10%,41-50%,,44,2829,996,It is convenient,,"Yes, frequently","Yes, sometimes",Rarely,"Yes, sometimes",Rarely,"No, never","Yes, sometimes","No, never",,Many customers do not think that it is convenient or useful,No,Micro-credit group,Two,No members at age 6-to-12,No,None,"Hemp/hay/bamboo, or other",Yes,One,Three or more,No,No
